batch,index,music,hashtag,author,likes,comments,shares,saves,video_id
3,26,Shaboykary Gratataa - Shaboykary ✅,"xyzbca, viral, fyp%E3%82%B7, mom, thegreatkevin25, relatable",thegreatkevin25,7764,49,1231,110,-1
3,27,original sound - Kimlizasmr,"fyp, foryoupage, food, eating, kimchi, soup, cooking, recipe, bts, behindthescenes, viral, spicy, koreanfood, mukbang, relatable, gonewrong, fail",kimnlizasmr,61600,221,3451,71,-1
3,28,original sound - Andy & Michelle,"andyandmichelle, couple, relationship, relatable",andy.and.michelle,39600,286,2202,533,-1
4,0,original sound - alexis<3,,luv.exe333,1800000,15700,184400,30200,-1
4,1,original sound - user7111922357251,"wlw, emo, y2k, hellokitty, scene, fyp",sc3n3_6irl,135600,545,11600,284,-1
4,2,original sound - .l0vem🧌,"foryoupage, mysterysticker, opentoenjoysticker, penjamin, tiktokviral, whatisthis%3F",vccafeonline2,247200,789,10400,528,-1
4,3,original sound - active <3,fyp%E3%82%B7,tina_042,188700,2526,10300,534,-1
4,4,original sound - Ejay,"fyp, viral, rizz",ejaycruzz,106800,378,12400,308,-1
4,5,original sound - Tyler Oliveira,,tyler.oliveira,63400,427,5556,107,-1
4,6,original sound - 🪐,"fyp, fortnite",rayluvsahsoka,1100000,8395,90600,6561,-1
4,7,original sound - BeepTeeBopsYouTube,gta5rp,beepteebopsyoutube,307500,1147,53100,3977,-1
4,8,original sound - Ben Nuttall,,bnfreestyle,18700,6095,2516,923,-1
4,9,SkeeYee - Sexyy Red,"@stanleybrand, foryoupage, stanley, stanleycup, stanleycupdamaged",thatonetall7ftblonde,9168,72,176,77,-1
4,10,Never Lose Me - Flo Milli,,c4pr1i,91500,667,7157,94,-1
4,11,original sound - Zaxx.vsp,"fyp, fortnite",evrizzle,924900,6223,99700,19200,-1
4,12,original sound - Luke Davidson,@mementoe2.0,lukedavidson_,1300000,9257,133200,8682,-1
