batch,index,music,hashtag,author,likes,comments,shares,saves,video_id
2,14,7AM (Slowed + Reverb) - adrian,"trending, gaming, viral, fortnite, fortniteog, foryoupage, mulletmace, fortnitetipsandtricks, fortnitezerobuild",mulletmace,2510,87,716,60,-1
2,15,original sound - BakweriBandit🇨🇲📿🪬,fyp,lady.kay_,2018,165,138,25,-1
2,16,original sound - Chains,"chainsfr, animated, fyp",chainstokz,12400,82,1350,50,-1
2,17,Messages from the Stars - ✩°｡ ⋆⸜ 🎧,"fyp, poland, viral, fyp%E3%82%B7",k1ubonradomiak,135100,3254,15700,1714,-1
2,18,original sound - Julesvisions,,lady.kay_,2212,140,97,28,-1
2,19,original sound - Mikeyy,"mykallive, wouldyourather, whatwouldyoudo, quiz, game, fyp",mykal.cruz,29500,12400,2978,35500,-1
2,20,original sound - Jack Doherty,"@imbabykait, jackdoherty",jackdoherty,11500,91,615,12,-1
2,21,original sound - c<3 - Jnx_,"fyp, foryou, relatable, viral, couple, real, funny, foryourpage",jnl.production,292800,1132,37500,3309,-1
2,22,The Hoes Gon Love This. All Rights Reserved - Cowboy Khai 🤠,,m6xence,554700,6998,33000,12400,-1
2,23,original sound - KHARRII,"@chiluboymusic4, kharrii, trending, funny",kharrii2,8868,1277,692,294,-1
2,24,original sound - sped up sounds ~,@cloecunningham_,aasha.lilli,2200000,11400,57900,10500,-1
2,25,original sound - Jay,,diamantblazi,154800,2879,6966,844,-1
2,26,original sound - J’Amore,"fyp, reels, jamore, father, dad, parent, explore, tiktok, jamorelove, parenting, parentingtips, dadsoftiktok, gentleparenting, kids, kidsoftiktok, food, restaurant, love, foodie, love, foodreview, foodlover, mrjaysfoodreview",jamore.love,55800,1031,8276,437,-1
2,27,Fluffing a Duck - Kevin MacLeod,"fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, therianslomo, therian, theriansoftiktok%F0%9F%90%BE, fyppppppppppppppppppppppp, therianfox, therians, quadrobics, quadrobicstutorial, quadrobicsjump, therianlarimar, therians, @therian_pyrit, @saphir_cat4, @skxlls._.whisper, @therian._.marble, @xtctatt2tattoo, @crazy_gurl200, @together_on_paws, @therian._.rubin, @.moon_us, @lixi_coyote",therian_larimar,3201,200,527,169,-1
3,0,original sound - Xen EHarvey,"fortnite, fortnitefunny, fortnitefunnymoments, fortnitetips, fortnitetipsandtricks, crosshairx",eharveyy,5096,77,943,17,-1
3,1,Lovin On Me - Jack Harlow,"@sizwegcmc85, kharrii, trending",kharrii2,35500,7274,3275,496,-1
3,2,original sound - mckinley richardson,,mckinleyrichardson,43600,170,5061,84,-1
3,3,7AM (Slowed + Reverb) - adrian,"trending, gaming, viral, fortnite, fortniteog, foryoupage, mulletmace, fortnitetipsandtricks, fortnitezerobuild",mulletmace,2010,42,628,138,-1
3,4,original sound - Mixsa_mi,,mixsa_mi,511800,3823,62200,1961,-1
3,5,Love You So - The King Khan & BBQ Show,"empire, fyp%E3%82%B7%E3%82%9Aviral, tarajiphenson, show, foryoupage, fypage, for, fyp, 4you, xuhuong, foryourpage, 4yp, foryou, 4youu, 4youuu, foryourpag, foryour",kevinjacksonnnn3,57500,187,5930,343,-1
3,6,original sound - Dean Sarama,"deanobballin, different, superhuman, relatable, opposite",deanobballin24,85700,854,11300,419,-1
3,7,original sound - LYRICAL,"drake, 50cent, drakeconcert, 50centconcert, drizzydrake, hiphop, rap",lyrical.yt,251900,1520,27400,193,-1
3,8,act ii: date @ 8 - 4Batz,"fyp, tall, 7ft",bigserggg,32200,668,3231,154,-1
3,9,original sound - Nicole Maple Coenen,,nicole_coenen,290200,2983,22700,1855,-1
3,10,Epic Legend - Auracle,"twix, twixrecipe",bestfoodsecrets,80300,1732,46300,10300,-1
3,11,Shotta Flow 7 - NLE Choppa,"fyp, swagboyq",swagboyq,431200,1928,26400,2234,-1
3,12,original sound - John McGinnis,"foryoupage, foryou, fyp",johnmcginnis36,39200,892,2611,540,-1
3,13,original sound - Rango Jalex,,rangojalex,162400,1078,24400,640,-1
3,14,nhạc nền - Funny Cuti 💋,"fyp, funny, funnyvideos, viral, trending, foryou, xuhuong, xuhuongtiktok",funnycuti.22,194100,3392,14700,26500,-1
3,15,original sound - jamal woods,,theonlyromantoolit,428,34,16,0,-1
3,16,dźwięk oryginalny - ✨🌌.Night_Sky🌌✨,"therianopy, therians, mask, therian, tail, theriantiktok, fyp",.night_sky_therian,69500,1412,7041,2791,-1
3,17,7AM (Slowed + Reverb) - adrian,"trending, gaming, viral, fortnite, fortniteog, foryoupage, mulletmace, fortnitetipsandtricks, fortnitezerobuild",mulletmace,2481,47,425,36,-1
3,18,original sound - Slimmerjimmer,"valemtimes, love",karljacobs,1800000,4829,125000,15000,-1
3,19,eredeti hang - 🇭🇺☆𝙻𝚒𝚡𝚒🦜𝒄𝒐𝒚𝒐𝒕𝒆,"viral, dance, therian, lixitherian, quadrobicsjump, flyp, lixi, therianmask, foryou",lixi_coyote,1966,222,334,23,-1
3,20,Otra Vez - ProdMarvin,"gongcha, boba, viral, satisfying, fyp, asmr, foryoupage, foryou, smoothie, compilation",gongchasilverspring,36600,54,1698,146,-1
3,21,original sound - :),"jjmaybank, rudypankow, jjmaybankedit, rudypankowedit, outerbanks, outerbanksedit, obx, obx3, fyp, foryou",stxvoidh,1500000,3831,261600,6927,-1
3,22,original sound - NotLuc,"fortnite, fortniteclips, fortnitebr, fortnitememe",notluc,703,8,46,2,-1
3,23,original sound - Eidan_Sanker,"funny, corvette, corvettecorvette, corvettec8, foryou, %D7%A4%D7%95%D7%A8%D7%99%D7%95, carporn, feelcool, trend, supercar, supercars, donttouchmycar, fyp, rudeboy, capcut, viral, chevy, chevrolet, corvettestingray, %F0%9F%87%BA%F0%9F%87%B8, usa, power, brandnew, new, spotted, c8stingray, stingray, fastcars, eidansanker, %D7%A2%D7%99%D7%93%D7%9F%D7%A1%D7%A0%D7%A7%D7%A8",eidansanker,13100,37,661,77,-1
3,24,original sound - 💜✨AshleyCharmFive✨🖤,"fyp, foryourpage, viraltiktok, viralvideo, happyholidays",ashleycharmfive,138400,2534,16900,1912,-1
3,25,original sound - Josh Allan,,joshhallan,26200,166,1183,55,-1
3,26,original sound - 💎LadyKay💎,,lady.kay_,2589,233,142,40,-1
3,27,original sound - Highondadaily710,"@6dixonyamada, fyp",highondadaily710,92000,766,7539,1242,-1
4,0,original sound - Gloomy pal Pou 👽,"pou, nothingspou",gloomypou,966100,15900,78100,72300,-1
4,1,original sound - TTMthoughts,"fyp, foryou, wannabegangsters, tagthem, blowthisup, funny, video, viral, skit",ttmthoughts,1700000,12800,220400,18400,-1
4,2,original sound - Baylen Levine,"baylenlevine, baylen, anakin, anakinskywalker, starwars, @mgall.editz",baylenlevine,267300,1739,19800,477,-1
4,3,original sound - noti plug 🔌 🔥,"nyc, fyp, youtube, nycdrill, bronxdrill, foryou, foryoupage, foryoupageofficiall, notifan1, noticuz, buba100x, ronsuno, kayflock, faceofthebronx, blowthisup",notifan1,1032,8,126,0,-1
4,4,původní zvuk - Dinoss,"fyp, viral, star, tournament, neymar, ronaldo, battle, tournamentweek",dinoss_official,94300,19400,5805,10200,-1
4,5,original sound - Hollie👻,"mackieandamanda, mackieandamandaedit, samandcolby, amandaraye, amandarayeedit, mackiealbertson, mackiealbertsonedit, videostarpro, vspedit, fyp%E3%82%B7",amandarayeismybaye,48400,458,12300,205,-1
4,6,original sound - ᴡɪʟʟᴀʏɴx 大耳,"eminem, eminemedit, baggypants, streetwear",yungalyy,52300,551,7321,388,-1
4,7,original sound - :),"fyp, mlesias, fyppppppppppppppppppppppp, viralvideo, fypage, xbcyza, icebreaker, hannahgrace, rainatelgemeier, books",mlesias,469200,5039,54300,1803,-1
4,8,original sound - Chipsta,"chipstauk, halalfood, chipstaslough, sloughfoodie, halalfoodslough, belgianfries, sauceudders, phillycheesesteak, sauceudders, unlimitedsauce",chipstauk,8971,67,653,44,-1
4,9,som original - elecemaximo22,"fyp, paravoce",samu.holzhacker,607800,2352,50100,3252,-1
4,10,original sound - Blondemilkman,,usimmango,309900,797,24400,1373,-1
4,11,original sound - the.pluh0,"memes, foryoupageofficiall, fyp",the.pluh0,64599,265,8495,1719,-1
4,12,original sound - funny__videos320,"funnyanimalvideos, shadowbanned",funny__videos320,914600,1278,109500,10800,-1
4,13,original sound - Koosh604,"meme, memecut, capcut, viral, fyp, foryou, fortnite, vault, duo, duos, @.ch4y, @fortnite",f.o.r.t.n.i.t.e_m.e.m.es,579000,6643,65900,15300,-1
4,14,meme sound - 🔥Jaytzybreezy🔥,"tall, family",marietemara4.0,2039,164,133,13,-1
4,15,original sound - The Mannii Show,freecomedy,the_mannii,51400,678,4115,1402,-1
4,16,original sound - ypk.raye,"@powerade_us, poweradepartner",ypk.raye,55600,192,3416,119,-1
4,17,Where you are (Vocals only) - Halal Beats,"randomfacts, randomcuriosities, randomvideo, fyp, interestingfacts, satisfying, alwayscurious, foryou, asmr, history",rrandomfact,156100,77100,24900,233100,-1
4,18,original sound - SCM_INK,"tattoo, tattooartist, tattoos, tatted, fyp, foryou, fypage, forearmtattoo",scm_ink,67200,225,3350,97,-1
4,19,original sound - Kam Tunechi 💕,,lady.kay_,2758,226,152,34,-1
4,20,original sound - hoodessentials,,hoodessentialz,5092,48,451,10,-1
4,21,original sound - 💎LadyKay💎,"@puffstar.onthemix, ladykaylive",lady.kay_,7254,902,435,205,-1
4,22,original sound - ElPapiWill,"explorepage, hispanic, viral",yaboyywill,404800,2282,47400,3245,-1
4,23,Gator - Spongebob Squarepants,"funnyvideos, basketball, fart, farting, fyp%E3%82%B7",house.ofhiglights,25000,448,1982,1156,-1
4,24,original sound - Shayan Khan,"space, moon, myth, debunk, conspiracy",shayaninspace,216600,5257,23300,368,-1
4,25,Untitled #13 (Super Slowed) - glwzbll,"mortalkombat1fatalities, mortalkombat1, mortalkombat1fatalities, foryou, foryoupage, fyp, gamingontiktok",jafferyh,228500,1893,27000,4109,-1
4,26,Silencio Por 4 Minutos - Adolf Alois891,,ywshow,1001,701,141,1274,-1
4,27,original sound - daily nicki verse,"@colbybrock, @samgolbach, @samandcolby, samgolbach, samgolbachedit, colbybrock, trend, viral, fyp, dance, ftc, highheels, xplr, ghosthuntin, samandcolbyfans, foryoupage, makeusviral, face, samandcolbyfanpage, colbybrockedit",annica.pulcher,80400,1400,9408,631,-1
4,28,original sound - SML Toks,"sml, gaming, funny, fyp, foryou, viral",smltoks,10100,55,2726,89,-1
4,29,original sound - Adult Podcast,"angelyoungs, podcast, interview",adult.podcast,28100,232,2749,527,-1
5,0,Fallen Down - Toby Fox,"fyp, facts, randomfacts, usa",factsphere0,29800,10600,3841,29500,-1
5,1,son original - LilKoyun,"@addrrre0, @uta11199, whereyougoig, itadori, fortnite, ogfortnite, cold, xbcyza",.axew,116700,1156,22400,3611,-1
5,2,original sound - Derek Lipp,"vegan, mom, son",dereklipp_,58300,319,2632,390,-1
5,3,original sound - Gaberaaaa,"dadbod, fitnessgoals, blessed, bodypositivity, milkmaid, insecuremuch, knowyourworth",gabe.raa,21000,73,357,56,-1
5,4,original sound - Steve,"marktakeover, fyp%E3%82%B7, viral",marktakeoverr,350900,1213,52800,4262,-1
5,5,son original - 𝗮𝗿𝗿𝗼𝘄𝘃𝗲𝗿𝘀𝗲,"theflash, barryallen, theflashcw, theflashseason7, theflashedit, theflashedits, theflashedits, fyp, centralcity",clarck_kent1,53400,532,5439,484,-1
5,6,original sound - RORY☆,"jakewebber, roryfvr, foryou, foryoupage, fyp, jakewebberedit, jakeedit, jakewebberedits, jakewebber9, johnnieguilbertandjakewebber, jakewebberandjohnnieguilbert",rory.fvr,249800,864,55600,2367,-1
5,7,smoke it off - cup1d,"fyp, pourtoi",cyber.ghetto,41000,505,5269,460,-1
5,8,nhạc nền - UNCLE SINK,"asmr, fyp, fyp%E3%82%B7, viral, foryou, fast, drink, %F0%9F%98%B1",uncle.sink,808800,6788,54900,11300,-1
5,9,original sound - furniture,"furniture, homedecor, furnituredesign, homemade, bedroomdesign, bedroom, fpy, bed",sweet123321furniture,720600,4504,42500,4339,-1
5,10,ill do it - blinded!,"fy, fyp, foryou, foryourpage, viral, teeth, whiteteeth, celebzteeeth",celebz.teeeth,17400,1841,1835,64,-1
5,11,It's Not so Bad - Cummrs,recovery,paulieepaull,654800,16100,55300,1272,-1
5,12,looksmaxxing - ayko,"fyp, foryou, veterinary, mewing, parati",itzy.malfoy22,2600000,31300,252500,87200,-1
5,13,MOVE YO BODY - Bryansanon,,wormarij,77300,355,13400,552,-1
5,14,original sound - Cey&Jai❤️,,itsceyandjai,367400,1937,18800,2083,-1
5,15,Gods creation - daniel.mp3,"pricelesspancake, pricelessbodyguard, ai",_ai.world,228600,2497,33200,1833,-1
5,16,original sound - PWR Vindooly,vindooly,vindooly,62700,483,8188,226,-1
5,17,original sound - Top 5/Top 10 Videos,,screenaddictyt,17100,40,2351,53,-1
5,18,sonido original - TerrorrKing👹#HistoriasdeMiedo,"videosdeterror, horrortok, terrortok, videosmiedo, terrorrking",terrorrking,1400000,27800,175800,208700,-1
5,19,repost - Noah 🦆🌱,onthisday,notnoeva,261500,2000,56800,3967,-1
5,20,Scott street x i know the end - micha,"@sophia.elizabeth08, @char.june69, fyp, foryou, fortnite",thaliakirby_,662700,14900,59700,10100,-1
5,21,original sound - hoodessentials,,hoodessentialz,4268,20,360,11,-1
5,22,We Cannot Be Fighting - MusicFlow,"@theinternational04, ladykaylive",lady.kay_,3287,726,139,57,-1
5,23,Where you are (Vocals only) - Halal Beats,"randomfacts, interestingfacts, learnontiktok, alwayscurious",rrandomfact,628100,47200,55100,444300,-1
5,24,son original - Micka,,brookemonk_,877900,3686,76100,6359,-1
5,25,original sound - 💎LadyKay💎,"@queenbwalter, ladykaylive",lady.kay_,4743,1019,308,297,-1
5,26,METAMORPHOSIS - INTERWORLD,"basketball, hoops, hooper, fyp",n8_ryan,15200,3025,1631,48,-1
